Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
108;Darius Days;PF;23;HOU;1;0;2;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;2;1;0;0;0;0;2
109;Dewayne Dedmon;C;33;MIA;30;0;11.7;2.1;4.3;0.496;0.4;1.2;0.297;1.8;3.1;0.576;0.539;1.1;1.5;0.727;0.9;2.7;3.6;0.5;0.2;0.5;0.6;2;5.7
110;Matthew Dellavedova;PG;32;SAC;23;0;6.3;0.5;1.4;0.375;0.3;0.7;0.4;0.3;0.7;0.353;0.469;0.1;0.2;0.6;0;0.3;0.3;1.4;0.3;0;0.3;0.6;1.4
111;DeMar DeRozan;SF;33;CHI;52;52;36.3;9.2;18;0.509;0.5;1.6;0.325;8.6;16.4;0.527;0.524;6.7;7.6;0.88;0.4;4.3;4.7;5.1;1;0.5;2.2;2.7;25.5
112;Moussa Diabaté;PF;21;LAC;16;1;10.5;1.3;2.5;0.525;0.1;0.1;0.5;1.3;2.4;0.526;0.538;0.6;1;0.625;1.8;1;2.8;0.2;0.3;0.4;0.5;0.8;3.3
113;Mamadi Diakite;PF;26;CLE;16;2;6.1;0.7;1.6;0.423;0.3;0.9;0.267;0.4;0.7;0.636;0.5;0;0;0;0.2;0.6;0.8;0.1;0.1;0.4;0.4;0.8;1.6
114;Hamidou Diallo;SG;24;DET;48;0;16.7;3.4;5.9;0.582;0.1;0.4;0.278;3.3;5.5;0.602;0.59;1.5;2.6;0.579;1;2.3;3.3;1;0.9;0.3;1.2;2.1;8.5
115;Gorgui Dieng;C;33;SAS;19;1;10.2;1.3;3.2;0.4;0.6;2.2;0.293;0.6;1;0.632;0.5;0.3;0.3;0.833;0.9;1.8;2.8;1.5;0.1;0.4;0.8;1.5;3.4
116;Ousmane Dieng;SF;19;OKC;19;0;14.9;1.7;4.1;0.416;0.7;2.4;0.289;1;1.7;0.594;0.5;0.1;0.3;0.4;0.4;2.2;2.6;1.4;0.3;0.3;0.6;1.2;4.2
117;Spencer Dinwiddie;PG;29;TOT;55;55;34.1;5.9;13.1;0.452;2.5;6.4;0.398;3.4;6.7;0.504;0.549;3.3;4;0.82;0.4;2.8;3.2;5.3;0.8;0.3;1.7;2.3;17.7
